2026/07/06 18:36:34 [MAB] event=reward_breakdown ts=1783355794960 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny/gpu/nvidia base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[gpu,nvidia] duration_ms=4.237085 latency_reward=-1.443876 cost_weight=0.600000 cost_factor=1.600000 cost_term=0.960000 energy_weight=0.200000 energy_factor=1.800000 energy_term=0.360000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-2.763876
2026/07/06 18:36:35 [MAB] event=reward_breakdown ts=1783355795891 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.520543 latency_reward=-0.924474 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.284474
2026/07/06 18:36:36 [MAB] event=reward_breakdown ts=1783355796113 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-large base_tag=x86-large architecture=x86 specialization=large capabilities=[] duration_ms=3.097160 latency_reward=-1.130486 cost_weight=0.600000 cost_factor=1.200000 cost_term=0.720000 energy_weight=0.200000 energy_factor=1.200000 energy_term=0.240000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-2.090486
2026/07/06 18:36:37 [MAB] event=reward_breakdown ts=1783355797041 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.426189 latency_reward=-1.231449 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.671449
2026/07/06 18:36:37 [MAB] event=reward_breakdown ts=1783355797266 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.973492 latency_reward=-1.089737 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.449737
2026/07/06 18:36:37 [MAB] event=reward_breakdown ts=1783355797492 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.449805 latency_reward=-1.238318 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.598318
2026/07/06 18:36:37 [MAB] event=reward_breakdown ts=1783355797718 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.516353 latency_reward=-1.257424 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.697424
2026/07/06 18:36:37 [MAB] event=reward_breakdown ts=1783355797942 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.267837 latency_reward=-1.184128 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.544128
2026/07/06 18:36:38 [MAB] event=reward_breakdown ts=1783355798168 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.322023 latency_reward=-1.200574 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.640574
2026/07/06 18:36:38 [MAB] event=reward_breakdown ts=1783355798393 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.275675 latency_reward=-1.186524 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.546524
2026/07/06 18:36:38 [MAB] event=reward_breakdown ts=1783355798616 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-large base_tag=x86-large architecture=x86 specialization=large capabilities=[] duration_ms=4.401223 latency_reward=-1.481882 cost_weight=0.600000 cost_factor=1.200000 cost_term=0.720000 energy_weight=0.200000 energy_factor=1.200000 energy_term=0.240000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-2.441882
2026/07/06 18:36:38 [MAB] event=reward_breakdown ts=1783355798844 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.167987 latency_reward=-1.153096 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.513096
2026/07/06 18:36:39 [MAB] event=reward_breakdown ts=1783355799069 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.601957 latency_reward=-1.281477 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.721477
2026/07/06 18:36:39 [MAB] event=reward_breakdown ts=1783355799294 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.911627 latency_reward=-1.068712 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.428712
2026/07/06 18:36:39 [MAB] event=reward_breakdown ts=1783355799520 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.549566 latency_reward=-1.266825 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.626825
2026/07/06 18:36:39 [MAB] event=reward_breakdown ts=1783355799744 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=2.962534 latency_reward=-1.086045 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.526045
2026/07/06 18:36:39 [MAB] event=reward_breakdown ts=1783355799972 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.023327 latency_reward=-1.106358 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.466358
2026/07/06 18:36:40 [MAB] event=reward_breakdown ts=1783355800199 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.416079 latency_reward=-1.228493 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.588493
2026/07/06 18:36:40 [MAB] event=reward_breakdown ts=1783355800428 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.004778 latency_reward=-1.100204 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.540204
2026/07/06 18:36:40 [MAB] event=reward_breakdown ts=1783355800652 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.279301 latency_reward=-1.187630 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.547630
2026/07/06 18:36:40 [MAB] event=reward_breakdown ts=1783355800878 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.980766 latency_reward=-1.381474 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.821474
2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801102 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.213413 latency_reward=-1.167334 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.527334
2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801327 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.627890 latency_reward=-0.966181 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.326181
2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801551 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.285047 latency_reward=-1.189381 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.549381
2026/07/06 18:36:41 [MAB] event=reward_breakdown ts=1783355801775 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=2.802000 latency_reward=-1.030333 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.390333
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802002 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.233431 latency_reward=-1.173544 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.613544
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802230 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.479634 latency_reward=-1.246927 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.606927
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802456 policy=UCB1 function=mab_cost_aware_1783355782 arm=arm-tiny base_tag=arm-tiny architecture=arm specialization=tiny capabilities=[] duration_ms=3.438660 latency_reward=-1.235082 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=0.600000 energy_term=0.120000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.595082
2026/07/06 18:36:42 [MAB] event=reward_breakdown ts=1783355802682 policy=UCB1 function=mab_cost_aware_1783355782 arm=x86-tiny base_tag=x86-tiny architecture=x86 specialization=tiny capabilities=[] duration_ms=3.130555 latency_reward=-1.141210 cost_weight=0.600000 cost_factor=0.400000 cost_term=0.240000 energy_weight=0.200000 energy_factor=1.000000 energy_term=0.200000 memory_weight=0.000000 memory_penalty=0.000000 memory_term=0.000000 final_reward=-1.581210
