Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,amd_faster,798,0,730,750.1947397944828,709.3514319999485,1920.472965999977,328.6127819548872,1.3319830394771717,0.0,730,740,750,760,780,810,1000,1100,1900,1900,1900
POST,arm_faster,752,0,780,795.1299899414902,764.9984110000787,2956.3142590000098,327.61968085106383,1.255202062264202,0.0,780,780,790,790,820,850,960,1000,3000,3000,3000
POST,chacha20,498,0,1000,1202.088090740966,991.265774999988,2943.752582000002,284.1285140562249,0.8312375359143251,0.0,1000,1100,1200,1300,2000,2000,2100,2400,2900,2900,2900
POST,filehandle,17,0,31000,34903.828022823545,30459.68436999999,46919.403381,333.1764705882353,0.028375578535227968,0.0,31000,35000,35000,39000,46000,47000,47000,47000,47000,47000,47000
POST,linpack,758,0,760,789.9177528522446,725.9956139999986,5892.038832000026,338.60026385224273,1.2652169723354587,0.0,760,770,780,780,790,820,880,1600,5900,5900,5900
POST,primenumber,24,0,17000,24940.511550916683,16591.514682000023,66251.94962800003,321.4166666666667,0.04005964028502772,0.0,17000,17000,17000,50000,54000,58000,66000,66000,66000,66000,66000
POST,readdisk,533,0,1100,1122.533870699812,1089.3694039999673,3196.125010000003,318.53846153846155,0.8896578446633239,0.0,1100,1100,1100,1100,1100,1200,1300,2200,3200,3200,3200
POST,readmemory,50,0,10385.420601000078,11805.961098340013,10385.420601000078,28643.38146099999,321.14,0.08345758392714107,0.0,10000,10000,10000,11000,14000,23000,29000,29000,29000,29000,29000
POST,thread,44,0,11258.620419999943,13362.912158090905,11258.620419999943,42830.049277,321.29545454545456,0.07344267385588416,0.0,12000,12000,12000,13000,19000,23000,43000,43000,43000,43000,43000
,Aggregated,3474,0,780,1543.611046980138,709.3514319999485,66251.94962800003,322.42688543465744,5.798632931257762,0.0,780,1000,1100,1100,1100,2000,12000,17000,53000,66000,66000
