Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,amd_faster,63,59,10000,9450.278898063518,1279.7166020000077,10021.14636000033,23.142857142857142,0.10518170875386017,0.09850350502345635,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
POST,arm_faster,190,0,3100,3147.4737395105394,2584.9944500000674,3453.8074769998275,359.11052631578946,0.31721467719418145,0.0,3100,3200,3200,3300,3400,3400,3400,3500,3500,3500,3500
POST,chacha20,330,0,1500,1810.1973506909023,1245.1020189996598,3458.3252009997523,285.08484848484846,0.5509518077583152,0.0,1500,2000,2200,2300,2500,2600,2700,2800,3500,3500,3500
POST,filehandle,20,0,29000,29616.565789300057,28810.67396599974,33165.80404599972,332.55,0.0333910186520191,0.0,29000,29000,30000,31000,32000,33000,33000,33000,33000,33000,33000
POST,linpack,706,0,840,847.559532555238,836.56529999962,1195.2491560000453,337.61756373937675,1.1787029584162743,0.0,840,850,850,850,850,870,880,890,1200,1200,1200
POST,primenumber,35,0,16793.10144100009,16677.991478314336,16624.356674999945,16793.10144100009,320.45714285714286,0.058434282641033425,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,readdisk,278,0,2200,2150.8156610503706,1913.388266000311,2464.1314799996508,320.568345323741,0.46413515926306553,0.0,2200,2200,2200,2200,2300,2300,2300,2300,2500,2500,2500
POST,readmemory,54,0,11000,10992.603749018534,10489.34026500001,11206.056656999863,320.98148148148147,0.09015575036045158,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,thread,43,0,13863.217826999971,13689.870588418607,13537.149014000079,13863.217826999971,321.86046511627904,0.07179069010184107,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
,Aggregated,1719,59,1500,3109.5884501716164,836.56529999962,33165.80404599972,314.3007562536358,2.869958053141042,0.09850350502345635,1500,2200,2500,3100,10000,14000,17000,29000,32000,33000,33000
