Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787817182,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787817183,9,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787817184,9,,Aggregated,0.000000,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1,0,1195.2491560000453,1195.2491560000453,1195.2491560000453,1195.2491560000453,338.0
1787817185,9,,Aggregated,0.000000,0.000000,1200,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5,0,1200,1572.3851759999889,845.3557640000327,2497.3804109999946,323.0
1787817186,9,,Aggregated,0.000000,0.000000,1200,2500,2500,2500,3400,3400,3400,3400,3400,3400,3400,7,0,1200,1731.5186688570716,844.7902949997115,3413.914506999845,330.2857142857143
1787817187,9,,Aggregated,0.500000,0.000000,1500,2000,2500,2500,3400,3400,3400,3400,3400,3400,3400,10,0,1200,1646.3262912999198,844.6333570000206,3413.914506999845,325.3
1787817188,9,,Aggregated,1.333333,0.000000,1200,2000,2500,2500,2500,3400,3400,3400,3400,3400,3400,11,0,1200,1572.8333389999368,837.9038160001073,3413.914506999845,326.45454545454544
1787817189,9,,Aggregated,1.750000,0.000000,1500,2100,2500,2500,3000,3400,3400,3400,3400,3400,3400,14,0,1200,1660.804629428542,837.9038160001073,3413.914506999845,328.92857142857144
1787817190,9,,Aggregated,1.833333,0.000000,1200,2100,2500,2500,3400,3500,3500,3500,3500,3500,3500,17,0,1200,1669.8441646470146,837.9038160001073,3458.3252009997523,327.2352941176471
1787817191,9,,Aggregated,1.833333,0.000000,1200,2100,2500,2500,3400,3500,3500,3500,3500,3500,3500,19,0,1200,1658.39380726311,837.9038160001073,3458.3252009997523,327.4736842105263
1787817192,9,,Aggregated,2.000000,0.000000,1500,2100,2500,2500,3000,3400,3500,3500,3500,3500,3500,22,0,1200,1679.0679873181487,837.9038160001073,3458.3252009997523,327.40909090909093
1787817193,9,,Aggregated,2.000000,0.000000,1400,2100,2500,3000,3400,3500,10000,10000,10000,10000,10000,25,1,1400,1966.8929573599778,837.9038160001073,10021.14636000033,313.0
1787817194,9,,Aggregated,2.111111,0.000000,1400,2200,2500,3000,3500,10000,11000,11000,11000,11000,11000,29,1,1400,2231.234185517223,837.9038160001073,11206.056656999863,315.82758620689657
1787817195,9,,Aggregated,2.200000,0.000000,1400,2200,2500,3000,3400,10000,11000,11000,11000,11000,11000,31,1,1400,2213.3224353225714,837.9038160001073,11206.056656999863,317.9032258064516
1787817196,9,,Aggregated,2.500000,0.100000,1500,2200,2600,3000,3500,11000,14000,14000,14000,14000,14000,36,1,1400,2466.9259218332954,837.9038160001073,13768.71964699967,318.22222222222223
1787817197,9,,Aggregated,2.800000,0.100000,1500,2200,2500,3000,3500,11000,14000,14000,14000,14000,14000,38,1,1400,2398.964541052596,837.9038160001073,13768.71964699967,317.8157894736842
1787817198,9,,Aggregated,2.700000,0.100000,1500,2200,2500,3000,3400,10000,14000,14000,14000,14000,14000,41,1,1500,2376.4653933170425,837.9038160001073,13768.71964699967,319.3170731707317
1787817199,9,,Aggregated,2.800000,0.100000,1500,2300,2600,3000,3500,11000,17000,17000,17000,17000,17000,44,1,1500,2669.449481749966,837.9038160001073,16793.10144100009,318.95454545454544
1787817200,9,,Aggregated,2.800000,0.100000,1500,2200,2500,3000,3500,11000,17000,17000,17000,17000,17000,46,1,1500,2616.830008826058,837.9038160001073,16793.10144100009,319.3695652173913
1787817201,9,,Aggregated,2.900000,0.100000,1500,2200,2500,3000,3500,11000,17000,17000,17000,17000,17000,50,1,1500,2533.3339530999724,837.9038160001073,16793.10144100009,320.18
1787817202,9,,Aggregated,2.900000,0.100000,1500,2100,2500,3000,3400,11000,14000,17000,17000,17000,17000,53,1,1500,2471.0092729056187,837.9038160001073,16793.10144100009,319.79245283018867
1787817203,9,,Aggregated,3.000000,0.100000,1500,2100,2500,3000,3400,11000,14000,17000,17000,17000,17000,54,1,1400,2440.8746121110667,837.9038160001073,16793.10144100009,320.1296296296296
1787817204,9,,Aggregated,3.100000,0.100000,1500,2200,2500,3000,3500,11000,14000,17000,17000,17000,17000,59,2,1500,2543.589789610127,837.9038160001073,16793.10144100009,315.0508474576271
1787817205,9,,Aggregated,3.100000,0.100000,1500,2200,2500,3000,3500,11000,14000,17000,17000,17000,17000,61,2,1500,2654.617880344228,837.9038160001073,16793.10144100009,315.5081967213115
1787817206,9,,Aggregated,2.900000,0.100000,1500,2100,2500,3000,3500,11000,14000,17000,17000,17000,17000,65,2,1500,2570.3101946307397,837.9038160001073,16793.10144100009,315.87692307692305
1787817207,9,,Aggregated,2.900000,0.100000,1500,2100,2500,3000,3500,11000,14000,17000,17000,17000,17000,67,2,1500,2528.590959432812,837.9038160001073,16793.10144100009,315.7164179104478
1787817208,9,,Aggregated,3.000000,0.100000,1500,2100,2500,3000,3500,11000,14000,17000,17000,17000,17000,70,2,1500,2508.8082428714047,837.9038160001073,16793.10144100009,316.9142857142857
1787817209,9,,Aggregated,2.800000,0.100000,1500,2100,2500,3000,3400,11000,14000,17000,17000,17000,17000,71,2,1500,2485.328241239412,837.9038160001073,16793.10144100009,317.2112676056338
1787817210,9,,Aggregated,2.900000,0.100000,1500,2200,2500,3000,3500,11000,14000,17000,17000,17000,17000,75,2,1500,2609.1013868133136,837.9038160001073,16793.10144100009,317.14666666666665
1787817211,9,,Aggregated,2.900000,0.100000,1500,2200,2500,3000,3500,11000,14000,17000,17000,17000,17000,78,2,1500,2575.432451576908,837.9038160001073,16793.10144100009,317.5128205128205
1787817212,9,,Aggregated,2.800000,0.100000,1500,2200,2500,3000,3500,11000,17000,29000,29000,29000,29000,82,2,1500,2850.667878304858,837.9038160001073,29135.27538199969,318.3170731707317
1787817213,9,,Aggregated,2.800000,0.100000,1500,2100,2500,3000,3500,11000,17000,29000,29000,29000,29000,83,2,1500,2826.5095737710626,837.9038160001073,29135.27538199969,318.5542168674699
1787817214,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,29000,29000,29000,29000,87,3,1500,2886.996388666641,837.9038160001073,29135.27538199969,315.2413793103448
1787817215,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,29000,29000,29000,29000,91,3,1500,2921.8504972417327,837.9038160001073,29135.27538199969,316.0659340659341
1787817216,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,94,3,1500,3030.3747497340187,837.9038160001073,29135.27538199969,316.0
1787817217,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,98,3,1500,2979.4690244693616,837.9038160001073,29135.27538199969,316.9183673469388
1787817218,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,14000,17000,29000,29000,29000,29000,100,3,1500,2954.2356509199763,837.9038160001073,29135.27538199969,316.87
1787817219,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,102,3,1500,2924.904060284291,837.9038160001073,29135.27538199969,317.1078431372549
1787817220,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,105,3,1500,2892.819033790458,837.9038160001073,29135.27538199969,317.45714285714286
1787817221,9,,Aggregated,3.000000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,107,3,1500,2867.396623560732,837.9038160001073,29135.27538199969,317.67289719626166
1787817222,9,,Aggregated,3.100000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,109,3,1500,2845.975387321085,837.9038160001073,29135.27538199969,317.55045871559633
1787817223,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,114,3,1500,2899.1150741491015,837.9038160001073,29135.27538199969,318.359649122807
1787817224,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,116,3,1500,2869.572578853425,837.9038160001073,29135.27538199969,318.2068965517241
1787817225,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,14000,17000,17000,29000,29000,29000,119,4,1500,2907.0294345545967,837.9038160001073,29135.27538199969,315.69747899159665
1787817226,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,123,4,1500,2955.0191386341257,837.9038160001073,29135.27538199969,316.0
1787817227,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,125,4,1500,2931.4269757359793,837.9038160001073,29135.27538199969,316.208
1787817228,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,128,4,1500,2887.7702952421623,837.9038160001073,29135.27538199969,316.28125
1787817229,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,130,4,1500,2873.7979465692024,837.9038160001073,29135.27538199969,316.7692307692308
1787817230,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,133,4,1500,2850.3441393232747,837.9038160001073,29135.27538199969,316.70676691729324
1787817231,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,134,4,1500,2835.354878253698,837.9038160001073,29135.27538199969,316.8731343283582
1787817232,9,,Aggregated,2.800000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,138,4,1500,2808.8362274927235,837.9038160001073,29135.27538199969,317.21014492753625
1787817233,9,,Aggregated,2.700000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,141,4,1500,2879.10630309217,837.9038160001073,29135.27538199969,317.531914893617
1787817234,9,,Aggregated,2.900000,0.100000,1500,2200,2600,3000,10000,11000,17000,17000,29000,29000,29000,144,4,1500,2856.0098411319195,837.9038160001073,29135.27538199969,317.4861111111111
