Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,amd_faster,617,0,3900,3887.049293111818,3738.5651499998858,5053.690665999966,663.4732576985414,0.25713142757133556,0.0,3900,3900,3900,3900,4000,4000,4100,4100,5100,5100,5100
POST,arm_faster,764,0,3000,3137.1186282094263,2939.4770040003095,15806.282139999894,664.1321989528795,0.31839288600405247,0.0,3000,3000,3100,3100,3100,3200,3900,6600,16000,16000,16000
POST,base64stream,518,0,4600,4631.0930179864845,4538.883883999915,5550.139481999963,712.949806949807,0.21587371066766908,0.0,4600,4600,4700,4700,4700,4800,4800,4900,5600,5600,5600
POST,chacha20,371,0,6000,6462.19115254178,4096.221311999898,20086.974659000134,622.2587601078167,0.15461225223495217,0.0,6000,6100,6100,6100,11000,18000,19000,19000,20000,20000,20000
POST,compression,423,0,5700,5665.831263574462,5541.128959000162,6843.165585000065,739.7021276595744,0.1762829722247568,0.0,5700,5700,5700,5700,5800,5800,5900,5900,6800,6800,6800
POST,dna-visualisation,8652,0,250,276.9229006135012,158.9327140000023,13444.558103999952,778.9817383263985,3.6056744106113374,0.0,250,290,300,300,350,400,440,490,3800,13000,13000
POST,dynamichtml,574,0,4200,4172.840995452968,3998.9160049999555,5435.068633000014,686.4895470383275,0.23921140911822789,0.0,4200,4200,4200,4200,4300,4300,4400,4400,5400,5400,5400
POST,filehandle,16,0,141000,141203.18672293748,139890.3228180002,143507.19928199987,681.75,0.006667913843016806,0.0,141000,141000,142000,142000,142000,144000,144000,144000,144000,144000,144000
POST,goroutines,1327,0,1800,1807.4535231160553,1548.31926199995,2895.8867349999764,719.1183119819141,0.5530201043552063,0.0,1800,1800,1900,1900,1900,2000,2000,2000,2200,2900,2900
POST,graph-bfs,2121,0,1100,1130.5647559665279,995.4334870001276,1834.787461000019,702.1848184818482,0.8839153288149153,0.0,1100,1200,1200,1200,1200,1300,1300,1300,1500,1800,1800
POST,graph-mst,893,0,2700,2686.194357630458,2389.272988999892,3558.9339669999163,723.3225083986562,0.37215294136337546,0.0,2700,2700,2800,2800,2900,3000,3000,3100,3600,3600,3600
POST,graph-pagerank,1180,0,2000,2031.4673841016925,1843.9071019997755,2924.493630000029,746.4923728813559,0.4917586459224894,0.0,2000,2100,2100,2100,2200,2200,2300,2300,2500,2900,2900
POST,hashing,805,0,3000,2978.3221430447115,2891.337890000159,3559.8049069999433,778.6819875776398,0.33547941522678304,0.0,3000,3000,3000,3000,3100,3100,3100,3200,3600,3600,3600
POST,jsonparse,487,0,4900,4925.52320515196,4692.4598860000515,5539.22134000004,749.6837782340863,0.202954627596824,0.0,4900,5000,5000,5000,5100,5100,5200,5200,5500,5500,5500
POST,linpack,89,0,26000,26738.7576141236,19349.53803999997,36003.4917109997,681.6179775280899,0.03709027075178098,0.0,26000,29000,31000,31000,33000,35000,36000,36000,36000,36000,36000
POST,matmul,2444,0,940,981.044688695992,826.3702899998862,13408.164285000112,694.7516366612111,1.0185238395208172,0.0,940,950,1000,1000,1100,1100,1200,1300,11000,13000,13000
POST,mutexcontention,4268,0,550,561.7242271314402,297.87949199999275,1291.474942999912,703.6258200562324,1.7786660176247329,0.0,550,600,600,650,690,710,790,800,990,1300,1300
POST,pointerchase,323,0,7400,7406.266884009305,7191.025108000304,7745.599486999936,711.1578947368421,0.13460851070590177,0.0,7400,7400,7500,7500,7500,7600,7600,7700,7700,7700,7700
POST,primenumber,35,0,67000,67008.64551817144,66894.04786300019,67260.481928,660.0,0.014586061531599262,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
POST,randomaccess,700,0,3400,3424.4380145200057,3293.594129000212,3941.1845910001375,717.0871428571429,0.29172123063198524,0.0,3400,3400,3500,3500,3500,3600,3700,3800,3900,3900,3900
POST,readdisk,560,0,4300,4283.1241638285865,4191.229982000095,4550.885550999965,657.6339285714286,0.2333769845055882,0.0,4300,4300,4300,4300,4400,4400,4500,4500,4600,4600,4600
POST,readmemory,57,0,42000,41904.11301477191,41748.48992199986,43664.0732840001,661.1929824561404,0.02375444306574737,0.0,42000,42000,42000,42000,42000,42000,42000,44000,44000,44000,44000
POST,sorting,606,0,3900,3958.835614202963,3836.705673999859,5729.676459000075,707.1023102310231,0.2525472368042615,0.0,3900,4000,4000,4000,4100,4100,4100,4200,5700,5700,5700
POST,syscallstorm,434,0,5500,5528.136931474648,5155.346272000088,6876.957925999932,733.7534562211981,0.18086716299183084,0.0,5500,5600,5600,5600,5600,5700,5800,5800,6900,6900,6900
POST,tempfileio,1391,0,1600,1723.6686798979108,1300.4345850001755,14897.994770999958,728.6915887850467,0.5796917597272735,0.0,1600,1700,1700,1800,1800,1900,2100,4300,13000,15000,15000
POST,thread,26,0,91000,90681.44906784616,89992.78178699978,92047.90745300011,662.5769230769231,0.010835359994902309,0.0,91000,91000,91000,91000,91000,92000,92000,92000,92000,92000,92000
POST,thumbnailer,2758,0,850,869.6346403281315,748.096015000101,2298.00069099997,721.3905003625816,1.149381648690022,0.0,850,900,900,910,950,1000,1000,1100,1200,2300,2300
POST,twin-chacha20,568,0,4200,4223.064410313388,4104.921581999861,5603.639630000089,718.2728873239437,0.2367109414270966,0.0,4200,4200,4300,4300,4300,4400,4400,4400,5600,5600,5600
POST,twin-primenumber,4724,0,500,507.5625774714236,396.3766609999766,1868.2693019999306,693.9119390347164,1.9687015621507118,0.0,500,510,550,550,600,640,690,700,800,1900,1900
