Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788774425,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788774426,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788774427,30,,Aggregated,0.000000,0.000000,1700,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,5,0,1700,1632.0774973999733,1291.474942999912,1868.2693019999306,718.2
1788774428,30,,Aggregated,0.000000,0.000000,1300,1700,1900,2300,2900,2900,2900,2900,2900,2900,2900,19,0,1300,1288.3753959999924,198.37516199993388,2947.6675020000584,731.3157894736842
1788774429,30,,Aggregated,1.000000,0.000000,900,1500,1900,2900,3600,3800,3900,3900,3900,3900,3900,33,0,900,1375.7983238787774,198.37516199993388,3913.4823449999203,729.3636363636364
1788774430,30,,Aggregated,3.333333,0.000000,800,1300,1700,1900,3600,3800,4300,4300,4300,4300,4300,47,0,800,1254.3268785319087,198.37516199993388,4324.96034199994,727.8723404255319
1788774431,30,,Aggregated,6.250000,0.000000,900,1500,2300,2900,5100,5600,5600,5700,5700,5700,5700,67,0,900,1671.764718059699,198.37516199993388,5729.676459000075,724.6417910447761
1788774432,30,,Aggregated,8.400000,0.000000,900,1500,2500,3000,5100,5600,6800,6900,6900,6900,6900,83,0,900,1714.7734710602388,198.37516199993388,6876.957925999932,724.9156626506024
1788774433,30,,Aggregated,9.500000,0.000000,860,1500,2300,2900,5100,5600,6900,7700,7700,7700,7700,97,0,860,1678.904701216493,198.37516199993388,7745.599486999936,725.8762886597938
1788774434,30,,Aggregated,10.714286,0.000000,840,1500,2300,2900,4300,5600,6800,6900,7700,7700,7700,115,0,840,1612.6562469043472,198.37516199993388,7745.599486999936,725.0173913043478
1788774435,30,,Aggregated,11.500000,0.000000,860,1500,2300,2900,4200,5600,6800,6900,7700,7700,7700,131,0,860,1618.162471167938,198.37516199993388,7745.599486999936,724.587786259542
1788774436,30,,Aggregated,12.000000,0.000000,860,1600,2300,3000,4300,5500,6800,6900,7700,7700,7700,147,0,860,1638.7530197959175,198.37516199993388,7745.599486999936,724.1972789115646
1788774437,30,,Aggregated,12.100000,0.000000,860,1500,2300,2900,4300,5500,5700,6900,7700,7700,7700,160,0,840,1585.3036179062462,198.37516199993388,7745.599486999936,724.3375
1788774438,30,,Aggregated,13.800000,0.000000,860,1500,2300,2900,4300,5500,5700,6900,7700,7700,7700,178,0,840,1604.8183978202205,198.37516199993388,7745.599486999936,724.5393258426966
1788774439,30,,Aggregated,15.200000,0.000000,840,1500,2300,2900,4200,5400,5700,6900,7700,7700,7700,194,0,810,1569.5765634020584,198.37516199993388,7745.599486999936,724.3041237113403
1788774440,30,,Aggregated,15.900000,0.000000,860,1600,2500,2900,4200,5200,5700,6800,7700,7700,7700,212,0,840,1600.3543788160353,198.37516199993388,7745.599486999936,723.9716981132076
1788774441,30,,Aggregated,16.000000,0.000000,840,1500,2300,2900,4300,5200,5700,6900,7700,7700,7700,228,0,810,1591.2659761798216,198.37516199993388,7745.599486999936,724.4736842105264
1788774442,30,,Aggregated,16.200000,0.000000,840,1600,2300,2900,4200,5100,5700,6900,7700,7700,7700,244,0,840,1575.1682197458986,197.99239999997553,7745.599486999936,724.3524590163935
1788774443,30,,Aggregated,16.400000,0.000000,840,1500,2300,2900,4200,5100,5700,6900,7700,7700,7700,261,0,840,1567.4002135670469,197.99239999997553,7745.599486999936,724.4444444444445
1788774444,30,,Aggregated,16.100000,0.000000,840,1600,2500,2900,4200,5200,5700,6900,7700,7700,7700,279,0,840,1581.474716516125,197.99239999997553,7745.599486999936,724.1971326164875
1788774445,30,,Aggregated,16.300000,0.000000,810,1500,2400,2900,4200,5100,5700,6900,7700,7700,7700,295,0,810,1563.4965156576222,197.99239999997553,7745.599486999936,724.5050847457627
1788774446,30,,Aggregated,16.400000,0.000000,810,1500,2300,2900,4200,5000,5700,6800,7700,7700,7700,310,0,800,1547.1768772193502,197.99239999997553,7745.599486999936,724.5225806451613
1788774447,30,,Aggregated,16.800000,0.000000,810,1500,2300,2900,4200,5000,5700,6900,22000,22000,22000,329,0,810,1598.2458333525801,197.99239999997553,21895.880585999977,724.5440729483282
1788774448,30,,Aggregated,16.600000,0.000000,810,1500,2500,2900,4200,5100,5700,7400,22000,22000,22000,348,0,810,1620.6358068017198,197.99239999997553,21895.880585999977,724.3678160919541
1788774449,30,,Aggregated,16.800000,0.000000,810,1500,2300,2900,4200,5000,5700,7400,22000,22000,22000,362,0,810,1598.612831317676,197.99239999997553,21895.880585999977,724.3701657458563
1788774450,30,,Aggregated,16.900000,0.000000,840,1500,2400,2900,4200,5100,5700,7400,22000,22000,22000,380,0,810,1604.320256531574,197.99239999997553,21895.880585999977,724.5289473684211
1788774451,30,,Aggregated,17.000000,0.000000,840,1500,2400,2900,4200,5000,5700,7400,22000,22000,22000,395,0,840,1603.3657611848053,197.99239999997553,21895.880585999977,724.4506329113924
1788774452,30,,Aggregated,17.000000,0.000000,810,1500,2300,2900,4200,5000,5700,6900,22000,22000,22000,412,0,810,1583.464659218442,197.99239999997553,21895.880585999977,724.507281553398
1788774453,30,,Aggregated,17.000000,0.000000,840,1500,2400,2900,4200,5000,5700,6900,22000,22000,22000,430,0,810,1593.8771382185998,197.99239999997553,21895.880585999977,724.4697674418604
1788774454,30,,Aggregated,16.900000,0.000000,840,1500,2300,2900,4200,5000,5700,6900,22000,22000,22000,446,0,810,1579.9241023654658,197.99239999997553,21895.880585999977,724.2847533632287
1788774455,30,,Aggregated,16.900000,0.000000,840,1500,2300,2900,4200,5000,5700,7400,22000,22000,22000,463,0,840,1585.9192262267768,197.99239999997553,21895.880585999977,724.3002159827214
1788774456,30,,Aggregated,16.800000,0.000000,840,1500,2300,2900,4200,5000,5700,7400,22000,22000,22000,478,0,840,1588.7654583451838,197.99239999997553,21895.880585999977,724.468619246862
1788774457,30,,Aggregated,16.700000,0.000000,840,1500,2400,2900,4200,5000,5700,7400,22000,22000,22000,496,0,840,1591.0863606814469,197.99239999997553,21895.880585999977,724.3427419354839
1788774458,30,,Aggregated,17.100000,0.000000,840,1500,2300,2900,4200,5000,5700,6900,22000,22000,22000,508,0,840,1579.0048993917273,197.99239999997553,21895.880585999977,724.5216535433071
1788774459,30,,Aggregated,16.700000,0.000000,840,1500,2300,2900,4200,5000,5700,6900,22000,22000,22000,524,0,840,1577.633416944652,197.99239999997553,21895.880585999977,724.412213740458
