Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,amd_faster,813,0,720,736.0013708450194,661.9619029999626,2431.6991899999607,328.61377613776136,1.357295965294133,0.0,720,720,730,730,760,790,1000,1000,2400,2400,2400
POST,arm_faster,725,0,790,825.013341924138,725.5904969999847,2953.6821309999937,327.72275862068966,1.2103807808588516,0.0,790,820,840,850,880,920,970,1500,3000,3000,3000
POST,chacha20,384,0,1200,1554.036070997394,1052.3438239999905,4394.448065999995,283.4270833333333,0.6410844411721366,0.0,1200,1600,2100,2200,2500,2600,2700,3300,4400,4400,4400
POST,filehandle,18,0,30000,33184.654779000004,29329.57921299999,51360.32744700003,334.1666666666667,0.030050833179943903,0.0,30000,30000,30000,36000,50000,51000,51000,51000,51000,51000,51000
POST,linpack,574,0,740,1042.2750075087145,730.6839629999331,7519.496914000001,339.0243902439024,0.9582876802937667,0.0,740,760,1200,1600,1800,2200,2500,3300,7500,7500,7500
POST,primenumber,31,0,17000,18817.86417377418,16590.95360799995,50446.003504999964,321.2903225806452,0.051754212698792275,0.0,17000,17000,17000,17000,17000,50000,50000,50000,50000,50000,50000
POST,readdisk,534,0,1100,1121.3075301647953,1089.742440000009,3693.637582000008,318.7022471910112,0.8915080510050024,0.0,1100,1100,1100,1100,1100,1100,1200,2100,3700,3700,3700
POST,readmemory,54,0,10384.446492999985,10924.534553574073,10384.446492999985,12306.281041000035,321.0925925925926,0.0901524995398317,0.0,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000
POST,thread,34,0,17000,17285.314792264715,11370.197113000017,25802.523203999954,321.1470588235294,0.05676268489544959,0.0,18000,20000,20000,20000,23000,23000,26000,26000,26000,26000,26000
,Aggregated,3167,0,800,1688.8540758800104,661.9619029999626,51360.32744700003,322.89801073571203,5.287277148937908,0.0,800,1100,1100,1100,1900,2700,17000,20000,50000,51000,51000
